分区编号,测线条数,测线总长/海里,最小重叠率/%,平均重叠率/%,最大重叠率/%,重叠率超过20%的测线长度/海里,漏测网格数
1,43,33.0679,3.49,7.39,17.99,0.0000,0
2,21,22.0698,5.89,9.62,20.01,0.4971,0
3,29,27.4455,5.98,9.00,52.74,0.9802,0
4,23,20.8880,6.88,8.14,10.94,0.0000,0
5,12,10.5390,7.92,10.15,17.25,0.0000,0
6,12,12.1773,7.12,8.44,12.63,0.0000,0
7,7,5.5509,8.03,9.75,13.58,0.0000,0
8,9,7.3470,6.88,9.41,14.86,0.0000,0
9,18,17.6403,8.26,9.09,10.69,0.0000,0
10,22,15.5497,8.31,10.65,50.13,0.0705,0
11,13,21.7829,7.83,12.27,50.34,1.9803,0
12,14,12.0706,6.61,11.17,48.33,0.2215,0
13,11,9.0229,5.71,8.82,15.23,0.0000,0
14,13,10.3395,6.39,11.26,48.09,0.4589,0
15,13,10.2215,3.90,7.87,14.64,0.0000,0
